sample;Sample  Volume (ml);Amount of gas (%);Withdrawal for GC1 (ml) _injected into GC1;Withdrawal GC2 for dilution (ml)_injected into dilution exetainer;Dilution exetainer volume (ml);Diluted volume for GC2 (ml) _injected into GC2;GC2 date_ name of GC2 Data;co2;co2_a;co2_b;co2_results_raw;ch4;ch4_a;ch4_b;ch4_result_raw;sample;GC1 date_name of GC1 data;N2;N2_a;N2_b;N2_result_raw;Ar;Ar_a;Ar_b;Ar_result_raw
Sample 12;4;95;0.5;0.4;12.02;0.6;20220125-9;Y=0.0758x-2.7683;0.0758;-2.7683;17579.868;Y=0.0591x+0.9083;0.0591;0.9083;18.472;Sample 12;20211220-16;Y=0.0891x+8.1503;0.0891;8.1503;224.2156;Y=0.1519x-0.2411;0.1519;-0.2411;4.3818
Sample 13;4;100;0.5;0.45;11.93;0.65;20220125-10;Y=0.0758x-2.7683;0.0758;-2.7683;21794.366;Y=0.0591x+0.9083;0.0591;0.9083;17.8792;Sample 13;20211220-17;Y=0.0891x+8.1503;0.0891;8.1503;217.6878;Y=0.1519x-0.2411;0.1519;-0.2411;4.1736
Sample 14;4;50;0.5;0.325;12.15;0.7;20220125-11;Y=0.0758x-2.7683;0.0758;-2.7683;19617.051;Y=0.0591x+0.9083;0.0591;0.9083;29.5988;Sample 14;20211221-04;Y=0.0891x+8.1503;0.0891;8.1503;251.355;Y=0.1519x-0.2411;0.1519;-0.2411;4.5668
Sample 15;4;100;0.5;0.4;12.09;0.6;20220125-12;Y=0.0758x-2.7683;0.0758;-2.7683;21076.127;Y=0.0591x+0.9083;0.0591;0.9083;17.184;Sample 15;20211221-05 ;Y=0.0891x+8.1503;0.0891;8.1503;201.8364;Y=0.1519x-0.2411;0.1519;-0.2411;3.4676
Sample 16;4;50;0.225;0.35;11.99;0.6;20220125-13;Y=0.0758x-2.7683;0.0758;-2.7683;27729.6228;Y=0.0591x+0.9083;0.0591;0.9083;13.6524;Sample 16;20220127-16;Y=0.1078x+4.1363;0.1078;4.1363;108.2436;Y=0.0108x-0.0078;0.0108;-0.0078;2.99
Sample 17;4;60;0.4;0.55;12.05;0.65;20220125-14;Y=0.0758x-2.7683;0.0758;-2.7683;35048.207;Y=0.0591x+0.9083;0.0591;0.9083;12.0606;Sample 17;20220127-17;Y=0.1078x+4.1363;0.1078;4.1363;168.6202;Y=0.0108x-0.0078;0.0108;-0.0078;3.3078
Sample 18;4;100;0.5;0.6;12.05;0.6;20220125-15;Y=0.0758x-2.7683;0.0758;-2.7683;34175.1326;Y=0.0591x+0.9083;0.0591;0.9083;18.962;Sample 18;20220127-18;Y=0.1078x+4.1363;0.1078;4.1363;201.3074;Y=0.0108x-0.0078;0.0108;-0.0078;4.6892
Sample 19;4;90;0.4;0.65;11.95;0.65;20220125-16;Y=0.0758x-2.7683;0.0758;-2.7683;9442.265;Y=0.0591x+0.9083;0.0591;0.9083;22.1182;Sample 19;20220127-19;Y=0.1078x+4.1363;0.1078;4.1363;203.0664;Y=0.0108x-0.0078;0.0108;-0.0078;3.508
Sample 20;6;100;0.45;0.45;12.01;0.55;20220125-17;Y=0.0758x-2.7683;0.0758;-2.7683;14974.906;Y=0.0591x+0.9083;0.0591;0.9083;16.6492;Sample 20;20220127-20;Y=0.1078x+4.1363;0.1078;4.1363;187.8234;Y=0.0108x-0.0078;0.0108;-0.0078;3.6032
Sample 21;4;100;0.425;0.4;12.08;0.55;20220126-08;Y=0.0739x+75.912;0.0739;75.912;6593.2312;Y=0.0741x+0.3909;0.0741;0.3909;4.6682;Sample 21;20220127-21;Y=0.1078x+4.1363;0.1078;4.1363;222.8908;Y=0.0108x-0.0078;0.0108;-0.0078;2.9288
